verb,noun,role,score
absorb,child,A1,2.2
absorb,cost,A1,4.1
absorb,expense,A1,4.0
absorb,moisture,A1,5.0
absorb,water,A1,4.6
absorb,youngster,A1,2.7
achieve,goal,A1,5.5
achieve,objective,A1,5.1
achieve,question,A1,2.3
achieve,request,A1,4.6
alert,cop,A1,5.2
alert,goal,A1,2.1
alert,objective,A1,1.7
alert,policeman,A1,5.7
assemble,blaze,A1,1.3
assemble,bookcase,A1,5.6
assemble,fire,A1,2.2
assemble,furniture,A1,6.0
assemble,panel,A1,5.7
assemble,team,A1,6.1
back,book,A1,3.1
back,candidate,A1,5.4
back,contestant,A1,3.2
back,minivan,A1,3.0
back,treatise,A1,4.7
back,vehicle,A1,4.2
battle,blaze,A1,3.4
battle,fire,A1,5.3
battle,pupil,A1,1.5
battle,student,A1,2.1
capture,animal,A1,4.5
capture,essence,A1,5.0
capture,gun,A1,2.5
capture,handgun,A1,2.5
capture,rabbit,A1,4.5
capture,spirit,A1,4.0
chew,beef,A1,6.0
chew,letter,A1,1.4
chew,meat,A1,6.1
chew,memo,A1,1.1
combat,disease,A1,5.8
combat,gathering,A1,2.0
combat,infection,A1,5.7
combat,party,A1,2.0
convict,criminal,A1,6.0
convict,gun,A1,1.4
convict,handgun,A1,1.8
convict,outlaw,A1,5.0
convince,dish,A1,1.5
convince,food,A1,1.2
convince,juror,A1,5.0
convince,jury,A1,5.1
correct,blunder,A1,4.1
correct,chicken,A1,1.7
correct,coward,A1,3.4
correct,damage,A1,3.9
correct,injustice,A1,4.6
correct,mistake,A1,4.3
detect,odor,A1,6.4
detect,populace,A1,2.8
detect,population,A1,2.5
detect,smell,A1,5.9
dip,bread,A1,4.8
dip,dancer,A1,3.4
dip,mountain,A1,1.2
dip,partner,A1,2.0
dip,slope,A1,3.7
dip,strawberry,A1,4.4
discard,criminal,A1,2.4
discard,outlaw,A1,3.3
discard,trash,A1,7.0
discard,waste,A1,6.9
discharge,duty,A1,3.3
discharge,lieutenant,A1,3.2
discharge,obligation,A1,3.2
discharge,patient,A1,4.5
discharge,populace,A1,2.3
discharge,population,A1,1.9
don,cop,A1,2.8
don,policeman,A1,2.0
don,tuxedo,A1,6.2
don,uniform,A1,5.7
donate,message,A1,2.3
donate,money,A1,5.0
donate,proceeds,A1,4.8
donate,reply,A1,1.4
download,data,A1,5.2
download,file,A1,6.0
download,laborer,A1,1.0
download,worker,A1,1.2
dump,boyfriend,A1,4.5
dump,company,A1,2.0
dump,corporation,A1,2.0
dump,litter,A1,5.6
dump,man,A1,3.7
dump,trash,A1,6.2
email,blaze,A1,1.0
email,fire,A1,1.0
email,message,A1,5.3
email,reply,A1,5.1
enrol,pupil,A1,6.2
enrol,student,A1,6.5
enrol,tuxedo,A1,1.1
enrol,uniform,A1,1.4
entertain,audience,A1,5.8
entertain,data,A1,2.6
entertain,file,A1,1.7
entertain,idea,A1,5.7
entertain,notion,A1,5.2
entertain,patron,A1,5.9
execute,deed,A1,6.1
execute,killer,A1,5.1
execute,murderer,A1,4.9
execute,trash,A1,1.3
execute,waste,A1,2.0
execute,will,A1,5.3
fax,criminal,A1,1.3
fax,letter,A1,4.6
fax,memo,A1,5.3
fax,outlaw,A1,1.1
feed,baby,A1,6.5
feed,curriculum,A1,1.6
feed,infant,A1,6.6
feed,pride,A1,2.9
feed,program,A1,2.2
feed,vanity,A1,2.8
flee,area,A1,4.4
flee,disease,A1,2.6
flee,infection,A1,1.4
flee,vicinity,A1,3.7
flip,coin,A1,5.1
flip,criminal,A1,1.5
flip,egg,A1,5.4
flip,omelet,A1,6.5
flip,outlaw,A1,2.7
flip,quarter,A1,5.2
free,aisle,A1,1.8
free,area,A1,2.1
free,captive,A1,3.9
free,prisoner,A1,4.0
free,road,A1,1.5
free,vicinity,A1,1.7
gather,community,A1,5.1
gather,congregation,A1,6.2
gather,firewood,A1,5.8
gather,goal,A1,2.6
gather,objective,A1,3.9
gather,wood,A1,5.7
ground,airplane,A1,4.5
ground,circuit,A1,5.3
ground,connection,A1,4.2
ground,laborer,A1,2.6
ground,plane,A1,4.8
ground,worker,A1,2.7
harm,baby,A1,2.4
harm,fetus,A1,3.7
harm,merlot,A1,1.8
harm,wine,A1,1.0
hide,body,A1,3.2
hide,corpse,A1,3.7
hide,fact,A1,3.4
hide,god,A1,5.1
hide,lord,A1,4.4
hide,statistic,A1,2.5
host,alternative,A1,2.5
host,gathering,A1,5.8
host,option,A1,2.2
host,party,A1,6.4
indict,child,A1,2.0
indict,criminal,A1,5.2
indict,outlaw,A1,4.8
indict,youngster,A1,2.4
initiate,conversation,A1,6.2
initiate,cop,A1,4.2
initiate,dialogue,A1,5.6
initiate,freshman,A1,4.9
initiate,pledge,A1,3.5
initiate,policeman,A1,3.3
jail,broiler,A1,1.3
jail,criminal,A1,6.1
jail,outlaw,A1,4.9
jail,oven,A1,1.1
jam,finger,A1,4.0
jam,merlot,A1,1.7
jam,sensor,A1,4.1
jam,signal,A1,3.2
jam,toe,A1,4.7
jam,wine,A1,1.9
kidnap,beef,A1,1.8
kidnap,child,A1,3.4
kidnap,meat,A1,1.1
kidnap,youngster,A1,3.5
land,airplane,A1,5.7
land,gig,A1,5.7
land,job,A1,5.3
land,plane,A1,6.6
land,pupil,A1,1.3
land,student,A1,1.7
leak,identity,A1,4.9
leak,liquid,A1,4.1
leak,story,A1,4.3
leak,tuxedo,A1,1.0
leak,uniform,A1,1.3
leak,water,A1,5.4
lower,car,A1,3.3
lower,cost,A1,4.3
lower,expense,A1,4.3
lower,gun,A1,4.2
lower,handgun,A1,4.1
lower,sedan,A1,2.5
lure,dog,A1,3.7
lure,juror,A1,1.7
lure,jury,A1,1.4
lure,wolf,A1,3.4
manufacture,desk,A1,6.0
manufacture,fib,A1,4.7
manufacture,juror,A1,1.2
manufacture,jury,A1,2.5
manufacture,lie,A1,5.7
manufacture,table,A1,6.3
motivate,criminal,A1,3.9
motivate,laborer,A1,4.4
motivate,outlaw,A1,3.5
motivate,worker,A1,5.8
notify,dog,A1,1.8
notify,guardian,A1,4.8
notify,parent,A1,5.3
notify,wolf,A1,1.7
obey,chicken,A1,1.3
obey,command,A1,4.9
obey,coward,A1,2.1
obey,law,A1,6.0
observe,adversary,A1,4.0
observe,dish,A1,3.2
observe,enemy,A1,4.9
observe,food,A1,2.8
observe,holiday,A1,6.5
observe,sabbath,A1,5.4
offset,cost,A1,4.3
offset,damage,A1,4.1
offset,expense,A1,4.7
offset,injustice,A1,4.1
offset,message,A1,1.9
offset,reply,A1,1.4
oversee,data,A1,3.6
oversee,file,A1,3.6
oversee,process,A1,5.8
oversee,routine,A1,4.6
own,gun,A1,4.8
own,handgun,A1,5.5
own,odor,A1,2.7
own,smell,A1,2.1
pin,criminal,A1,3.6
pin,dress,A1,4.2
pin,fighter,A1,4.6
pin,gown,A1,3.8
pin,outlaw,A1,2.8
pin,wrestler,A1,6.0
power,appliance,A1,6.2
power,machine,A1,6.5
power,trash,A1,1.5
power,waste,A1,2.1
praise,god,A1,6.4
praise,lord,A1,6.0
praise,mountain,A1,2.8
praise,slope,A1,1.6
preheat,broiler,A1,5.3
preheat,command,A1,1.3
preheat,law,A1,1.4
preheat,oven,A1,6.2
prescribe,antibiotic,A1,6.6
prescribe,criminal,A1,2.0
prescribe,drug,A1,5.3
prescribe,outlaw,A1,1.4
punish,baby,A1,2.0
punish,criminal,A1,5.8
punish,fetus,A1,1.7
punish,outlaw,A1,5.3
purchase,car,A1,6.2
purchase,curriculum,A1,3.5
purchase,program,A1,4.6
purchase,sedan,A1,5.9
recognize,celebrity,A1,5.7
recognize,degree,A1,5.1
recognize,president,A1,6.0
recognize,qualification,A1,6.1
recognize,question,A1,4.0
recognize,request,A1,5.4
reform,antibiotic,A1,1.7
reform,behavior,A1,5.0
reform,conduct,A1,4.6
reform,drug,A1,2.7
reform,tariff,A1,3.4
reform,tax,A1,3.8
register,amazement,A1,3.6
register,complaint,A1,5.1
register,country,A1,3.7
register,grievance,A1,3.7
register,province,A1,2.8
register,surprise,A1,2.6
reject,god,A1,3.5
reject,idea,A1,4.0
reject,lord,A1,3.3
reject,lover,A1,3.4
reject,notion,A1,4.0
