verb,noun,role,score
abandon,baby,A0,3.0
abandon,baby,A1,2.8
abandon,cat,A0,4.6
abandon,cat,A1,4.8
abandon,child,A0,4.6
abandon,child,A1,3.1
abandon,kidnapper,A0,3.9
abandon,kidnapper,A1,1.5
accept,award,A0,1.1
accept,award,A1,6.6
accept,friend,A0,6.1
accept,friend,A1,5.8
accept,neighbor,A0,5.4
accept,neighbor,A1,4.4
accept,student,A0,5.9
accept,student,A1,5.3
accept,teenager,A0,5.5
accept,teenager,A1,4.1
accuse,criminal,A0,3.4
accuse,criminal,A1,6.9
accuse,defendant,A0,3.6
accuse,defendant,A1,6.8
accuse,dog,A0,1.3
accuse,dog,A1,3.5
accuse,prosecutor,A0,6.8
accuse,prosecutor,A1,2.6
accuse,suspect,A0,3.3
accuse,suspect,A1,6.8
accuse,witness,A0,6.4
accuse,witness,A1,3.2
admire,actress,A0,4.6
admire,actress,A1,6.4
admire,athlete,A0,4.8
admire,athlete,A1,6.4
admire,disciple,A0,5.6
admire,disciple,A1,4.1
admire,fan,A0,6.8
admire,fan,A1,1.7
admire,groupie,A0,6.9
admire,groupie,A1,1.9
adopt,baby,A0,1.4
adopt,baby,A1,6.4
adopt,child,A0,2.0
adopt,child,A1,6.2
adopt,committee,A0,5.5
adopt,committee,A1,3.3
adopt,couple,A0,5.9
adopt,couple,A1,1.6
adopt,policy,A0,2.1
adopt,policy,A1,6.0
applaud,actress,A0,2.9
applaud,actress,A1,6.5
applaud,critic,A0,5.0
applaud,critic,A1,1.5
applaud,director,A0,4.8
applaud,director,A1,4.5
applaud,musician,A0,2.9
applaud,musician,A1,6.8
applaud,performance,A0,1.2
applaud,performance,A1,6.7
approve,candidate,A0,4.0
approve,candidate,A1,4.8
approve,committee,A0,6.2
approve,committee,A1,3.8
approve,contractor,A0,5.7
approve,contractor,A1,3.6
approve,plan,A0,1.8
approve,plan,A1,5.3
approve,policy,A0,2.3
approve,policy,A1,5.2
arrest,cop,A0,6.7
arrest,cop,A1,1.6
arrest,corporal,A0,5.0
arrest,corporal,A1,1.5
arrest,crook,A0,1.2
arrest,crook,A1,5.9
arrest,guard,A0,5.0
arrest,guard,A1,1.6
arrest,police,A0,6.4
arrest,police,A1,1.5
arrest,suspect,A0,1.4
arrest,suspect,A1,5.5
assist,employee,A0,6.0
assist,employee,A1,5.3
assist,grandmother,A0,6.0
assist,grandmother,A1,6.1
assist,host,A0,6.1
assist,host,A1,3.4
assist,moron,A0,1.7
assist,moron,A1,3.4
attack,boxer,A0,6.4
attack,boxer,A1,6.1
attack,fort,A0,1.6
attack,fort,A1,6.0
attack,infantry,A0,5.6
attack,infantry,A1,5.7
attack,opinion,A0,3.2
attack,opinion,A1,6.5
attack,pacifist,A0,1.9
attack,pacifist,A1,3.4
attack,troops,A0,6.6
attack,troops,A1,6.2
audit,accountant,A0,6.0
audit,accountant,A1,4.0
audit,businessman,A0,3.8
audit,businessman,A1,6.0
audit,citizen,A0,2.2
audit,citizen,A1,5.5
audit,corporation,A0,4.8
audit,corporation,A1,6.1
audit,government,A0,6.2
audit,government,A1,3.0
audit,taxpayer,A0,2.7
audit,taxpayer,A1,6.2
beat,bully,A0,6.5
beat,bully,A1,1.9
beat,egg,A0,1.2
beat,egg,A1,6.1
beat,parent,A0,3.7
beat,parent,A1,2.2
beat,wimp,A0,1.7
beat,wimp,A1,4.9
betray,liar,A0,6.9
betray,liar,A1,4.7
betray,partner,A0,3.5
betray,partner,A1,4.5
betray,wife,A0,3.4
betray,wife,A1,4.4
blame,skydiver,A0,2.0
blame,skydiver,A1,1.5
blame,student,A0,5.3
blame,student,A1,4.7
blame,weatherman,A0,3.4
blame,weatherman,A1,5.5
blame,writer,A0,4.5
blame,writer,A1,4.9
bother,mechanic,A0,2.8
bother,mechanic,A1,3.4
bother,receptionist,A0,2.1
bother,receptionist,A1,4.7
break,child,A0,6.0
break,child,A1,1.4
break,horse,A0,3.8
break,horse,A1,2.9
break,vase,A0,1.1
break,vase,A1,5.9
break,window,A0,1.0
break,window,A1,6.0
bribe,judge,A0,1.6
bribe,judge,A1,4.5
bribe,manager,A0,3.6
bribe,manager,A1,5.1
bribe,undertaker,A0,2.2
bribe,undertaker,A1,2.5
bury,bone,A0,1.3
bury,bone,A1,6.2
bury,evidence,A0,1.4
bury,evidence,A1,4.3
bury,undertaker,A0,6.7
bury,undertaker,A1,2.3
