verb,noun,role,score
advise,banker,A0,6.0
advise,banker,A1,5.0
advise,biologist,A0,4.2
advise,biologist,A1,5.0
advise,business,A0,5.3
advise,business,A1,5.8
advise,client,A0,3.7
advise,client,A1,6.6
advise,customer,A0,3.8
advise,customer,A1,6.0
advise,designer-gardener,A0,5.8
advise,designer-gardener,A1,3.8
advise,doctor,A0,6.8
advise,doctor,A1,4.0
advise,expert,A0,6.5
advise,expert,A1,3.8
advise,hospital,A0,6.0
advise,hospital,A1,4.0
advise,investor,A0,6.0
advise,investor,A1,6.3
advise,official,A0,6.2
advise,official,A1,5.9
advise,planner,A0,6.3
advise,planner,A1,3.9
ask,charity,A0,5.9
ask,charity,A2,5.2
ask,congress,A0,5.8
ask,congress,A2,6.0
ask,court,A0,6.0
ask,court,A2,5.8
ask,department,A0,4.0
ask,department,A2,5.2
ask,doctor,A0,6.5
ask,doctor,A2,6.7
ask,firm,A0,5.3
ask,firm,A2,5.1
ask,official,A0,6.1
ask,official,A2,6.6
ask,police,A0,6.5
ask,police,A2,6.2
ask,prosecutor,A0,6.6
ask,prosecutor,A2,6.3
ask,state,A0,3.8
ask,state,A2,3.8
ask,union,A0,6.0
ask,union,A2,5.3
caution,bank,A0,4.2
caution,bank,A2,2.3
caution,developer,A0,3.8
caution,developer,A2,5.0
caution,friend,A0,5.6
caution,friend,A2,5.0
caution,judge,A0,5.4
caution,judge,A2,3.7
caution,lady,A0,5.0
caution,lady,A2,5.0
caution,leader,A0,5.9
caution,leader,A2,5.0
caution,police,A0,6.6
caution,police,A2,2.2
caution,professional,A0,5.0
caution,professional,A2,5.1
caution,rain,A0,1.2
caution,rain,A2,1.3
caution,trader,A0,3.2
caution,trader,A2,5.1
caution,user,A0,3.8
caution,user,A2,5.4
caution,woman,A0,5.7
caution,woman,A2,5.7
confuse,baby,A0,3.7
confuse,baby,A1,6.0
confuse,boatman,A0,2.1
confuse,boatman,A1,3.2
confuse,comment,A0,5.8
confuse,comment,A1,1.5
confuse,community,A0,3.5
confuse,community,A1,4.9
confuse,computer,A0,5.4
confuse,computer,A1,4.1
confuse,condition,A0,4.6
confuse,condition,A1,2.5
confuse,equipment,A0,4.9
confuse,equipment,A1,1.4
confuse,insistence,A0,4.2
confuse,insistence,A1,1.4
confuse,sense,A0,4.0
confuse,sense,A1,3.8
confuse,shareholder,A0,3.3
confuse,shareholder,A1,5.0
confuse,situation,A0,6.0
confuse,situation,A1,5.1
confuse,statement,A0,6.0
confuse,statement,A1,2.5
eat,apple,A0,1.0
eat,apple,A1,6.5
eat,cost,A0,1.0
eat,cost,A1,1.8
eat,debt,A0,1.3
eat,debt,A1,1.4
eat,egg,A0,1.0
eat,egg,A1,6.4
eat,group,A0,6.0
eat,group,A1,1.1
eat,husband,A0,6.7
eat,husband,A1,1.3
eat,local,A0,6.7
eat,local,A1,1.5
eat,lunch,A0,1.1
eat,lunch,A1,6.9
eat,meal,A0,1.0
eat,meal,A1,6.9
eat,people,A0,6.9
eat,people,A1,1.5
eat,pizza,A0,1.1
eat,pizza,A1,6.8
eat,villager,A0,6.8
eat,villager,A1,1.7
eliminate,act,A0,4.9
eliminate,act,A1,2.4
eliminate,barrier,A0,3.9
eliminate,barrier,A1,4.9
eliminate,club,A0,3.6
eliminate,club,A1,2.8
eliminate,intruder,A0,3.3
eliminate,intruder,A1,2.8
eliminate,job,A0,3.0
eliminate,job,A1,5.0
eliminate,law,A0,4.6
eliminate,law,A1,3.0
eliminate,need,A0,2.5
eliminate,need,A1,5.0
eliminate,policy,A0,4.2
eliminate,policy,A1,4.2
eliminate,provision,A0,3.1
eliminate,provision,A1,4.1
eliminate,therapy,A0,4.7
eliminate,therapy,A1,2.7
embarrass,board,A0,3.8
embarrass,board,A1,3.9
embarrass,bookkeeping,A0,2.6
embarrass,bookkeeping,A1,1.3
embarrass,conservative,A0,3.9
embarrass,conservative,A1,3.7
embarrass,executive,A0,4.8
embarrass,executive,A1,4.9
embarrass,government,A0,3.8
embarrass,government,A1,4.9
embarrass,importunity,A0,2.4
embarrass,importunity,A1,1.2
embarrass,information,A0,4.8
embarrass,information,A1,1.2
embarrass,intervener,A0,4.1
embarrass,intervener,A1,2.9
embarrass,lyric,A0,3.6
embarrass,lyric,A1,1.2
embarrass,official,A0,4.9
embarrass,official,A1,5.0
embarrass,revelation,A0,5.3
embarrass,revelation,A1,1.2
embarrass,treatment,A0,4.0
embarrass,treatment,A1,1.0
encourage,affiliate,A0,3.7
encourage,affiliate,A1,4.9
encourage,boy,A0,5.2
encourage,boy,A1,5.7
encourage,client,A0,3.7
encourage,client,A1,5.1
encourage,company,A0,4.0
encourage,company,A1,4.0
encourage,executive,A0,5.0
encourage,executive,A1,5.6
encourage,government,A0,4.2
encourage,government,A1,3.8
encourage,investor,A0,5.1
encourage,investor,A1,5.5
encourage,pupil,A0,3.9
encourage,pupil,A1,5.9
encourage,purpose,A0,3.8
encourage,purpose,A1,3.6
encourage,technician,A0,4.0
encourage,technician,A1,4.8
encourage,uncertainty,A0,2.5
encourage,uncertainty,A1,5.5
encourage,vicar,A0,5.6
encourage,vicar,A1,4.7
hear,appeal,A0,1.7
hear,appeal,A1,6.4
hear,board,A0,5.4
hear,board,A1,2.8
hear,case,A0,1.4
hear,case,A1,5.8
hear,committee,A0,5.8
hear,committee,A1,4.1
hear,court,A0,6.4
hear,court,A1,5.2
hear,ear,A0,6.8
hear,ear,A1,1.3
hear,girl,A0,6.8
hear,girl,A1,6.5
hear,knock,A0,1.1
hear,knock,A1,6.2
hear,man,A0,6.7
hear,man,A1,6.5
hear,moan,A0,1.1
hear,moan,A1,5.8
hear,sound,A0,1.1
hear,sound,A1,6.8
hear,voice,A0,1.2
